Good Player,Value (€),Potential Value,Wage (€),Best Overall Rating,Release Clause (€),Reactions,International Reputation,Potential,Potential Normalized
1,4.410447933641572,4.672396944408269,4.306770039322677,2.8459522909241985,5.8221338302147805,3.0093164403407626,3.7770751918134033,2.530016956404093,2.530016956404092
1,4.410447933641572,4.839820983572061,4.306770039322677,3.0046582499758516,15.19595123807409,3.0093164403407626,3.7770751918134033,3.0149404302372256,3.0149404302372256
1,4.410447933641572,4.839820983572061,4.306770039322677,2.9938091038485064,11.63701230063932,2.5385318517691764,2.375127004630693,3.0149404302372256,3.0149404302372256
1,4.410447933641572,4.672396944408269,4.306770039322677,2.8459522909241985,9.604722033087771,3.0093164403407626,3.7770751918134033,2.530016956404093,2.530016956404092
1,4.410447933641572,4.430505583505625,2.1075300479615815,2.254525039226968,4.032940581857927,2.211718482066268,2.375127004630693,1.8294078944976409,1.829407894497639
1,4.410447933641572,4.551451263956946,0.900922324294446,2.4023818521512754,5.792962296818838,2.211718482066268,3.7770751918134033,2.179712425450867,2.1797124254508664
1,4.410447933641572,4.430505583505625,1.9734625231096776,2.254525039226968,2.9633141252518493,2.1027806921652985,3.7770751918134033,1.8294078944976409,1.829407894497639
1,4.410447933641572,4.430505583505625,4.306770039322677,2.5502386650755833,2.7493888339306336,2.429594061868207,3.7770751918134033,1.8294078944976409,1.829407894497639
1,4.410447933641572,4.839820983572061,4.306770039322677,2.9938091038485064,10.440975444616159,2.756407431571115,3.7770751918134033,3.0149404302372256,3.0149404302372256
1,4.410447933641572,4.551451263956946,4.306770039322677,2.5502386650755833,6.201365125704795,2.5385318517691764,3.7770751918134033,2.179712425450867,2.1797124254508664
1,4.410447933641572,4.490978423731287,4.185576683166093,2.6980954779998907,4.110731596883824,1.993842902264329,2.375127004630693,2.004560159974254,2.0045601599742544
1,4.410447933641572,4.79334262485959,4.306770039322677,3.0046582499758516,4.42189565698741,3.0093164403407626,3.7770751918134033,2.880321487357319,2.8803214873573197
1,4.410447933641572,4.7328697846339285,4.306770039322677,2.6980954779998907,6.162469618191847,2.6474696416701455,3.7770751918134033,2.705169221880706,2.705169221880706
1,4.410447933641572,4.672396944408269,4.306770039322677,2.8459522909241985,4.42189565698741,2.756407431571115,3.7770751918134033,2.530016956404093,2.530016956404092
1,4.410447933641572,4.490978423731287,4.306770039322677,2.4023818521512754,3.9551495668320307,2.756407431571115,3.7770751918134033,2.004560159974254,2.0045601599742544
1,3.4149132845953623,3.43827872885933,4.306770039322677,2.254525039226968,1.9520309299151937,2.429594061868207,3.7770751918134033,1.8294078944976409,1.829407894497639
1,1.5293728500419648,1.5331268230559536,4.306770039322677,2.10666822630266,0.8240612120396931,2.211718482066268,2.375127004630693,1.654255629021028,1.654255629021027
1,4.410447933641572,4.672396944408269,4.306770039322677,2.6980954779998907,9.147699819810628,1.993842902264329,3.7770751918134033,2.530016956404093,2.530016956404092
1,4.410447933641572,4.839820983572061,4.306770039322677,3.0046582499758516,12.99835506359251,3.0093164403407626,3.7770751918134033,3.0149404302372256,3.0149404302372256
1,3.2802318249844054,3.2102427197606236,4.306770039322677,1.9588114133783525,2.146508467479935,1.7759673224623902,3.7770751918134033,1.4791033635444149,1.4791033635444153
1,4.410447933641572,4.79334262485959,4.306770039322677,2.6980954779998907,8.000282348178654,2.211718482066268,2.375127004630693,2.880321487357319,2.8803214873573197
1,4.410447933641572,4.611924104182608,4.306770039322677,2.6980954779998907,5.919372598997151,2.1027806921652985,3.7770751918134033,2.35486469092748,2.3548646909274784
1,4.410447933641572,4.839820983572061,4.306770039322677,3.0046582499758516,6.920932014694339,3.0093164403407626,3.7770751918134033,3.0149404302372256,3.0149404302372256
1,4.410447933641572,4.79334262485959,4.306770039322677,3.0046582499758516,11.403639255561629,2.6474696416701455,3.7770751918134033,2.880321487357319,2.8803214873573197
1,4.410447933641572,4.611924104182608,4.306770039322677,2.6980954779998907,6.104126356922424,2.5385318517691764,2.375127004630693,2.35486469092748,2.3548646909274784
1,4.410447933641572,4.839820983572061,4.306770039322677,2.8459522909241985,10.77158725847622,2.211718482066268,2.375127004630693,3.0149404302372256,3.0149404302372256
1,4.410447933641572,4.430505583505625,2.0404962855356295,2.4023818521512754,5.141462545976954,2.429594061868207,2.375127004630693,1.8294078944976409,1.829407894497639
1,4.410447933641572,4.672396944408269,4.306770039322677,2.6980954779998907,7.494640750510325,2.3206562719672372,3.7770751918134033,2.530016956404093,2.530016956404092
1,4.410447933641572,4.551451263956946,4.306770039322677,2.4023818521512754,5.588760882375859,2.211718482066268,2.375127004630693,2.179712425450867,2.1797124254508664
1,4.410447933641572,4.430505583505625,4.306770039322677,2.254525039226968,-0.31363238271404476,1.7759673224623902,3.7770751918134033,1.8294078944976409,1.829407894497639
1,4.410447933641572,4.430505583505625,2.3756650976653892,2.254525039226968,4.003768951223216,1.993842902264329,2.375127004630693,1.8294078944976409,1.829407894497639
1,4.410447933641572,4.839820983572061,4.306770039322677,3.0046582499758516,13.572063799408498,3.0093164403407626,3.7770751918134033,3.0149404302372256,3.0149404302372256
1,4.410447933641572,4.551451263956946,4.252610445592045,2.4023818521512754,4.88864174714279,2.5385318517691764,3.7770751918134033,2.179712425450867,2.1797124254508664
1,3.6842762038172765,3.7067466544648995,4.306770039322677,2.254525039226968,2.729940982935391,2.1027806921652985,3.7770751918134033,1.8294078944976409,1.829407894497639
1,4.410447933641572,4.672396944408269,4.306770039322677,2.8459522909241985,8.894879020976465,2.974283011373054,3.7770751918134033,2.530016956404093,2.530016956404092
